detector_type,descriptor_type,frame,no_keypoints_frame,no_keypoints_roi,detector_time_ms,descriptor_time_ms,no_matched_points,matching_time_ms
SIFT,BRISK,9,1422,137,59.91269600,1.87340600,80,0.21031100

SIFT,BRIEF,0,1438,138,60.00354400,0.42519000,0,0.00000000
SIFT,BRIEF,1,1371,132,57.54528400,0.43629600,86,0.14679200
SIFT,BRIEF,2,1380,124,58.79391400,0.47145800,78,0.16085200
SIFT,BRIEF,3,1335,137,74.11509700,0.48201800,76,0.16684900
SIFT,BRIEF,4,1305,134,69.17618800,0.45631300,85,0.17343900
SIFT,BRIEF,5,1369,140,57.59347000,0.40925700,69,0.19260400
SIFT,BRIEF,6,1396,137,57.92403900,0.41795800,74,0.19601900
SIFT,BRIEF,7,1382,148,57.56945200,0.42031000,76,0.19479700
SIFT,BRIEF,8,1463,159,57.34876200,0.55789000,70,0.21889900
SIFT,BRIEF,9,1422,137,56.87130400,0.53830200,88,0.20669600

SIFT,ORB,0,0,0,0.00000000,0.00000000,0,0.00000000
SIFT,ORB,1,0,0,0.00000000,0.00000000,0,0.00000000
SIFT,ORB,2,0,0,0.00000000,0.00000000,0,0.00000000
SIFT,ORB,3,0,0,0.00000000,0.00000000,0,0.00000000
SIFT,ORB,4,0,0,0.00000000,0.00000000,0,0.00000000
SIFT,ORB,5,0,0,0.00000000,0.00000000,0,0.00000000
SIFT,ORB,6,0,0,0.00000000,0.00000000,0,0.00000000
SIFT,ORB,7,0,0,0.00000000,0.00000000,0,0.00000000
SIFT,ORB,8,0,0,0.00000000,0.00000000,0,0.00000000
SIFT,ORB,9,0,0,0.00000000,0.00000000,0,0.00000000

SIFT,FREAK,0,1438,138,57.72723500,19.55313300,0,0.00000000
SIFT,FREAK,1,1371,132,57.18050300,19.25893100,65,0.19388000
SIFT,FREAK,2,1380,124,57.02934300,19.51906200,72,0.22147600
SIFT,FREAK,3,1335,137,58.88515100,19.29647400,64,0.19970500
SIFT,FREAK,4,1305,134,57.00857300,19.22047200,66,0.20157300
SIFT,FREAK,5,1369,140,58.46187600,19.25938000,59,0.19818400
SIFT,FREAK,6,1396,137,57.31984000,19.52759900,59,0.19643600
SIFT,FREAK,7,1382,148,56.55653600,19.60264100,64,0.20204000
SIFT,FREAK,8,1463,159,56.89937400,19.87170000,65,0.22080300
SIFT,FREAK,9,1422,137,56.58227800,19.23607000,79,0.21359700

SIFT,AKAZE,0,0,0,0.00000000,0.00000000,0,0.00000000
SIFT,AKAZE,1,0,0,0.00000000,0.00000000,0,0.00000000
SIFT,AKAZE,2,0,0,0.00000000,0.00000000,0,0.00000000
SIFT,AKAZE,3,0,0,0.00000000,0.00000000,0,0.00000000
SIFT,AKAZE,4,0,0,0.00000000,0.00000000,0,0.00000000
SIFT,AKAZE,5,0,0,0.00000000,0.00000000,0,0.00000000
SIFT,AKAZE,6,0,0,0.00000000,0.00000000,0,0.00000000
SIFT,AKAZE,7,0,0,0.00000000,0.00000000,0,0.00000000
SIFT,AKAZE,8,0,0,0.00000000,0.00000000,0,0.00000000
SIFT,AKAZE,9,0,0,0.00000000,0.00000000,0,0.00000000

SIFT,SIFT,0,1438,138,56.72440200,39.66111800,0,0.00000000
SIFT,SIFT,1,1371,132,58.16413800,39.83778900,82,0.24010200
SIFT,SIFT,2,1380,124,57.24086600,39.72790700,81,0.23178900
SIFT,SIFT,3,1335,137,58.16219100,40.66186000,85,0.25132200
SIFT,SIFT,4,1305,134,57.64822700,39.90324900,93,0.25138300
SIFT,SIFT,5,1369,140,57.01454800,39.82219700,90,0.24794300
SIFT,SIFT,6,1396,137,57.89584000,39.94535100,81,0.23655700
SIFT,SIFT,7,1382,148,57.02541300,39.84443300,82,0.24693900
SIFT,SIFT,8,1463,159,57.50219200,39.66390300,102,0.27150900
SIFT,SIFT,9,1422,137,58.65842200,39.84556900,104,0.28865000

